Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
65,11/25/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $2.25 Price Point,,$0.00,$28.00
66,11/25/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $2.25 Price Point,,($4.50),$23.50
67,11/25/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $2.25 Price Point,,$0.00,$23.50
68,11/25/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $2.25 Price Point,,($4.50),$23.50
69,11/26/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $2.25 Price Point,,$0.00,$23.50
70,11/26/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $2.25 Price Point,,($4.50),$19.00
71,11/26/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $2.25 Price Point,,$0.00,$19.00
72,11/26/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $2.25 Price Point,,($4.50),$19.00
73,11/27/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $2.25 Price Point,,$0.00,$19.00
74,11/27/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $2.25 Price Point,,($4.50),$14.50
75,11/27/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $2.25 Price Point,,$0.00,$14.50
76,11/27/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $2.25 Price Point,,($4.50),$14.50
77,11/28/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $2.25 Price Point,,$0.00,$14.50
78,11/28/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $2.25 Price Point,,($4.50),$10.00
79,11/28/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $2.25 Price Point,,$0.00,$10.00
80,11/28/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $2.25 Price Point,,($4.50),$10.00
