Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
45,11/18/25 08:00 AM,Entry,Metrorail,Shady Grove,,Stored Value,,$0.00,$25.75
46,11/18/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Stored Value,,($6.75),$19.00
47,11/18/25 05:00 PM,Entry,Metrorail,Metro Center,,Stored Value,,$0.00,$19.00
48,11/18/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Stored Value,,($6.75),$19.00
49,11/19/25 08:00 AM,Entry,Metrorail,Shady Grove,,Stored Value,,$0.00,$19.00
50,11/19/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Stored Value,,($6.75),$12.25
51,11/19/25 05:00 PM,Entry,Metrorail,Metro Center,,Stored Value,,$0.00,$12.25
52,11/19/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Stored Value,,($6.75),$12.25
53,11/20/25 08:00 AM,Entry,Metrorail,Shady Grove,,Stored Value,,$0.00,$12.25
54,11/20/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Stored Value,,($6.75),$5.50
55,11/20/25 05:00 PM,Entry,Metrorail,Metro Center,,Stored Value,,$0.00,$5.50
56,11/20/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Stored Value,,($6.75),$5.50
57,11/21/25 08:00 AM,Entry,Metrorail,Shady Grove,,Stored Value,,$0.00,$5.50
58,11/21/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Stored Value,,($6.75),$-1.25
59,11/21/25 05:00 PM,Entry,Metrorail,Metro Center,,Stored Value,,$0.00,$-1.25
60,11/21/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Stored Value,,($6.75),$-1.25
61,11/24/25 08:00 AM,Entry,Metrorail,Shady Grove,,Stored Value,,$0.00,$-1.25
62,11/24/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Stored Value,,($6.75),$-8.00
63,11/24/25 05:00 PM,Entry,Metrorail,Metro Center,,Stored Value,,$0.00,$-8.00
64,11/24/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Stored Value,,($6.75),$-8.00
65,11/25/25 08:00 AM,Entry,Metrorail,Shady Grove,,Stored Value,,$0.00,$-8.00
66,11/25/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Stored Value,,($6.75),$-14.75
67,11/25/25 05:00 PM,Entry,Metrorail,Metro Center,,Stored Value,,$0.00,$-14.75
68,11/25/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Stored Value,,($6.75),$-14.75
69,11/26/25 08:00 AM,Entry,Metrorail,Shady Grove,,Stored Value,,$0.00,$-14.75
70,11/26/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Stored Value,,($6.75),$-21.50
71,11/26/25 05:00 PM,Entry,Metrorail,Metro Center,,Stored Value,,$0.00,$-21.50
72,11/26/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Stored Value,,($6.75),$-21.50
73,11/27/25 08:00 AM,Entry,Metrorail,Shady Grove,,Stored Value,,$0.00,$-21.50
74,11/27/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Stored Value,,($6.75),$-28.25
75,11/27/25 05:00 PM,Entry,Metrorail,Metro Center,,Stored Value,,$0.00,$-28.25
76,11/27/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Stored Value,,($6.75),$-28.25
77,11/28/25 08:00 AM,Entry,Metrorail,Shady Grove,,Stored Value,,$0.00,$-28.25
78,11/28/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Stored Value,,($6.75),$-35.00
79,11/28/25 05:00 PM,Entry,Metrorail,Metro Center,,Stored Value,,$0.00,$-35.00
80,11/28/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Stored Value,,($6.75),$-35.00
