Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
22,11/10/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
23,11/10/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
24,11/10/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
25,11/11/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
26,11/11/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
27,11/11/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
28,11/11/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
29,11/12/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
30,11/12/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
31,11/12/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
32,11/12/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
33,11/13/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
34,11/13/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
35,11/13/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
36,11/13/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
37,11/14/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
38,11/14/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
39,11/14/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
40,11/14/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
41,11/17/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
42,11/17/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
43,11/17/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
44,11/17/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
45,11/18/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
46,11/18/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
47,11/18/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
48,11/18/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
49,11/19/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
50,11/19/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
51,11/19/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
52,11/19/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
53,11/20/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
54,11/20/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
55,11/20/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
56,11/20/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
57,11/21/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
58,11/21/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
59,11/21/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
60,11/21/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
61,11/24/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
62,11/24/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
63,11/24/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
64,11/24/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
65,11/25/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
66,11/25/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
67,11/25/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
68,11/25/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
69,11/26/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
70,11/26/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
71,11/26/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
72,11/26/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
73,11/27/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
74,11/27/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
75,11/27/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
76,11/27/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
77,11/28/25 08:00 AM,Entry,Metrorail,Shady Grove,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
78,11/28/25 08:45 AM,Exit,Metrorail,Shady Grove,Metro Center,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
79,11/28/25 05:00 PM,Entry,Metrorail,Metro Center,,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
80,11/28/25 05:45 PM,Exit,Metrorail,Metro Center,Shady Grove,Monthly Unlimited Pass $6.75 Price Point,,$0.00,$100.00
